"gene","pvalue","q_fdr","p_bonf"
"WBGene00017978",5.25e-14,7.11701966717095e-13,1.411305e-09
"WBGene00013473",5.65e-14,7.65540826612903e-13,1.518833e-09
"WBGene00020551",5.81e-14,7.86823274559194e-13,1.5618442e-09
"WBGene00022423",5.91e-14,7.99962839879154e-13,1.5887262e-09
"WBGene00011938",6.08e-14,8.22559436336185e-13,1.6344256e-09
"WBGene00009948",6.3e-14,8.51894366197183e-13,1.693566e-09
"WBGene00004076",6.33e-14,8.55520663650075e-13,1.7016306e-09
"WBGene00018343",6.36e-14,8.59143316582915e-13,1.7096952e-09
"WBGene00004004",6.42e-14,8.66812857860372e-13,1.7258244e-09
"WBGene00012809",6.55e-14,8.83921184738956e-13,1.760771e-09
"WBGene00007537",6.6e-14,8.90221776216759e-13,1.774212e-09
"WBGene00010108",6.81e-14,9.18086359077232e-13,1.8306642e-09
"WBGene00014665",7.34e-14,9.89042005012531e-13,1.9731388e-09
"WBGene00001031",7.48e-14,1.00740160320641e-12,2.0107736e-09
"WBGene00008262",7.53e-14,1.01362774161242e-12,2.0242146e-09
"WBGene00020414",7.72e-14,1.03868388388388e-12,2.0752904e-09
"WBGene00004227",7.82e-14,1.051612006003e-12,2.1021724e-09
"WBGene00007597",7.86e-14,1.0564626e-12,2.1129252e-09
"WBGene00019322",7.97e-14,1.07071234382809e-12,2.1424954e-09
"WBGene00194816",8.06e-14,1.08226233766234e-12,2.1666892e-09
"WBGene00007777",8.3e-14,1.11393210184723e-12,2.231206e-09
"WBGene00010509",9.15e-14,1.22739670658683e-12,2.459703e-09
"WBGene00021678",9.54e-14,1.27907371571072e-12,2.5645428e-09
"WBGene00014197",9.98e-14,1.33739960119641e-12,2.6828236e-09
"WBGene00011095",1.12e-13,1.50014150473343e-12,3.010784e-09
"WBGene00018314",1.14e-13,1.52616932270916e-12,3.064548e-09
"WBGene00019489",1.16e-13,1.5521712294674e-12,3.118312e-09
"WBGene00010651",1.28e-13,1.71188855721393e-12,3.440896e-09
"WBGene00023407",1.33e-13,1.77787468920935e-12,3.575306e-09
"WBGene00000016",1.34e-13,1.79035188866799e-12,3.602188e-09
"WBGene00000229",1.5e-13,2.00312965722802e-12,4.0323e-09
"WBGene00007996",1.53e-13,2.04217775571003e-12,4.112946e-09
"WBGene00017949",1.58e-13,2.10786898263027e-12,4.247356e-09
"WBGene00020905",1.61e-13,2.14682638888889e-12,4.328002e-09
"WBGene00008707",1.63e-13,2.17134093161546e-12,4.381766e-09
"WBGene00018487",1.63e-13,2.17134093161546e-12,4.381766e-09
"WBGene00020339",1.69e-13,2.25015255076771e-12,4.543058e-09
"WBGene00007999",1.77e-13,2.35550198019802e-12,4.758114e-09
"WBGene00004210",1.9e-13,2.52725383473528e-12,5.10758e-09
"WBGene00014240",1.99e-13,2.64565677546983e-12,5.349518e-09
"WBGene00012791",2e-13,2.65763717251607e-12,5.3764e-09
"WBGene00020571",2.11e-13,2.80242193675889e-12,5.672102e-09
"WBGene00004094",2.4e-13,3.18601481481481e-12,6.45168e-09
"WBGene00022287",2.43e-13,3.22424777887463e-12,6.532326e-09
"WBGene00021878",2.5e-13,3.31549087321164e-12,6.7205e-09
"WBGene00007142",2.64e-13,3.49943195266272e-12,7.096848e-09
"WBGene00017968",2.67e-13,3.5374539181863e-12,7.177494e-09
"WBGene00012637",3.13e-13,4.14486009852217e-12,8.414066e-09
"WBGene00015514",3.24e-13,4.28841358936485e-12,8.709768e-09
"WBGene00020139",3.58e-13,4.73610039370079e-12,9.623756e-09
"WBGene00000753",4.05e-13,5.35524348253812e-12,1.088721e-08
"WBGene00044212",4.38e-13,5.78874926253687e-12,1.1774316e-08
"WBGene00020554",4.48e-13,5.91800294840295e-12,1.2043136e-08
"WBGene00002162",4.66e-13,6.14973588610702e-12,1.2527012e-08
"WBGene00010289",4.66e-13,6.14973588610702e-12,1.2527012e-08
"WBGene00001075",5.03e-13,6.63476251226693e-12,1.3521646e-08
"WBGene00269337",5.13e-13,6.76334771947033e-12,1.3790466e-08
"WBGene00013723",5.22e-13,6.87862941176471e-12,1.4032404e-08
"WBGene00017559",5.29e-13,6.9674561489466e-12,1.4220578e-08
"WBGene00016424",5.37e-13,7.06936043095005e-12,1.4435634e-08
"WBGene00009143",5.44e-13,7.15800685266765e-12,1.4623808e-08
"WBGene00006053",5.54e-13,7.28602152641879e-12,1.4892628e-08
"WBGene00019017",5.89e-13,7.74254180929095e-12,1.5833498e-08
"WBGene00018113",6.17e-13,8.10664418377322e-12,1.6586194e-08
"WBGene00003093",6.18e-13,8.11581631656082e-12,1.6613076e-08
"WBGene00044005",6.21e-13,8.1512314453125e-12,1.6693722e-08
"WBGene00020282",6.28e-13,8.23909028794534e-12,1.6881896e-08
"WBGene00011120",7.11e-13,9.3234643902439e-12,1.9113102e-08
"WBGene00017058",7.13e-13,9.34513213066797e-12,1.9166866e-08
"WBGene00044024",7.25e-13,9.49778265107213e-12,1.948945e-08
"WBGene00009754",7.5e-13,9.82050657574282e-12,2.01615e-08
"WBGene00016535",7.82e-13,1.023452969815e-11,2.1021724e-08
"WBGene00011795",7.83e-13,1.02426306569343e-11,2.1048606e-08
"WBGene00015052",8.08e-13,1.05645214007782e-11,2.1720656e-08
"WBGene00010547",8.34e-13,1.08938717201166e-11,2.2419588e-08
"WBGene00044439",8.34e-13,1.08938717201166e-11,2.2419588e-08
"WBGene00000803",8.41e-13,1.09799718309859e-11,2.2607762e-08
"WBGene00015688",8.5e-13,1.10920873786408e-11,2.28497e-08
"WBGene00016022",8.51e-13,1.10997486656963e-11,2.2876582e-08
"WBGene00014121",9.02e-13,1.17592453928225e-11,2.4247564e-08
"WBGene00017577",9.11e-13,1.18708201648085e-11,2.4489502e-08
"WBGene00011414",9.37e-13,1.22036986434109e-11,2.5188434e-08
"WBGene00017560",9.38e-13,1.2210806779661e-11,2.5215316e-08
"WBGene00003388",1.03e-12,1.34019651500484e-11,2.768846e-08
"WBGene00009620",1.04e-12,1.3525534591195e-11,2.795728e-08
"WBGene00013713",1.05e-12,1.36423876268729e-11,2.82261e-08
"WBGene00235297",1.05e-12,1.36423876268729e-11,2.82261e-08
"WBGene00013700",1.06e-12,1.37656618357488e-11,2.849492e-08
"WBGene00023451",1.07e-12,1.388881699662e-11,2.876374e-08
"WBGene00015335",1.09e-12,1.41347708634829e-11,2.930138e-08
"WBGene00020609",1.09e-12,1.41347708634829e-11,2.930138e-08
"WBGene00018120",1.12e-12,1.45167984570878e-11,3.010784e-08
"WBGene00003431",1.19e-12,1.54092389210019e-11,3.198958e-08
"WBGene00017018",1.19e-12,1.54092389210019e-11,3.198958e-08
"WBGene00011777",1.2e-12,1.55312469908522e-11,3.22584e-08
"WBGene00009416",1.22e-12,1.57825024061598e-11,3.279604e-08
"WBGene00007239",1.26e-12,1.62921212121212e-11,3.387132e-08
"WBGene00008871",1.29e-12,1.66720096153846e-11,3.467778e-08
"WBGene00020658",1.32e-12,1.70515329168669e-11,3.548424e-08
"WBGene00021309",1.4e-12,1.80762728146013e-11,3.76348e-08
"WBGene00044296",1.45e-12,1.8703886756238e-11,3.89789e-08
"WBGene00045387",1.45e-12,1.8703886756238e-11,3.89789e-08
"WBGene00019929",1.46e-12,1.88238465227818e-11,3.924772e-08
"WBGene00006920",1.48e-12,1.90725599232982e-11,3.978536e-08
"WBGene00017658",1.53e-12,1.97074556780067e-11,4.112946e-08
"WBGene00020627",1.59e-12,2.04704885057471e-11,4.274238e-08
"WBGene00010485",1.67e-12,2.14798755980861e-11,4.489294e-08
"WBGene00016058",1.67e-12,2.14798755980861e-11,4.489294e-08
"WBGene00016683",1.68e-12,2.15981635581062e-11,4.516176e-08
"WBGene00011910",1.69e-12,2.17163384321224e-11,4.543058e-08
"WBGene00017154",1.8e-12,2.31187768752986e-11,4.83876e-08
"WBGene00019779",1.84e-12,2.36212416427889e-11,4.946288e-08
"WBGene00003762",2.07e-12,2.65612124105012e-11,5.564574e-08
"WBGene00009081",2.29e-12,2.93701240458015e-11,6.155978e-08
"WBGene00008205",2.3e-12,2.94843109203624e-11,6.18286e-08
"WBGene00012138",2.36e-12,3.02390467111535e-11,6.344152e-08
"WBGene00013165",2.41e-12,3.08649928537399e-11,6.478562e-08
"WBGene00020659",2.57e-12,3.28984476190476e-11,6.908674e-08
"WBGene00018548",2.77e-12,3.5441761066159e-11,7.446314e-08
"WBGene00018640",2.84e-12,3.63201141769743e-11,7.634488e-08
"WBGene00000893",3.13e-12,4.00098240608654e-11,8.414066e-08
"WBGene00007230",3.23e-12,4.12684695817491e-11,8.682886e-08
"WBGene00044533",3.24e-12,4.13765700712589e-11,8.709768e-08
"WBGene00010831",3.42e-12,4.36545299145299e-11,9.193644e-08
"WBGene00003877",3.43e-12,4.37613953488372e-11,9.220526e-08
"WBGene00013651",3.53e-12,4.50158728652751e-11,9.489346e-08
"WBGene00009340",3.57e-12,4.54828151658768e-11,9.596874e-08
"WBGene00020651",3.57e-12,4.54828151658768e-11,9.596874e-08
"WBGene00018910",3.67e-12,4.6734694457603e-11,9.865694e-08
"WBGene00016083",3.84e-12,4.88763636363636e-11,1.0322688e-07
"WBGene00010869",3.88e-12,4.93621202082347e-11,1.0430216e-07
"WBGene00016512",4.07e-12,5.1754843897824e-11,1.0940974e-07
"WBGene00006039",4.13e-12,5.24929834515366e-11,1.1102266e-07
"WBGene00015248",4.25e-12,5.39926748582231e-11,1.142485e-07
"WBGene00016893",4.36e-12,5.53639678790742e-11,1.1720552e-07
"WBGene00007420",4.4e-12,5.58455146364495e-11,1.182808e-07
"WBGene00017262",4.45e-12,5.64534686172723e-11,1.196249e-07
"WBGene00012444",4.69e-12,5.94700849056604e-11,1.2607658e-07
"WBGene00004115",5.13e-12,6.50186987270156e-11,1.3790466e-07
"WBGene00022089",5.17e-12,6.54947879359095e-11,1.3897994e-07
"WBGene00019435",5.32e-12,6.73632783796514e-11,1.4301224e-07
"WBGene00016898",5.36e-12,6.78378154425612e-11,1.4408752e-07
"WBGene00015541",5.37e-12,6.79323952941176e-11,1.4435634e-07
"WBGene00012904",5.4e-12,6.82476727785614e-11,1.451628e-07
"WBGene00019783",5.4e-12,6.82476727785614e-11,1.451628e-07
"WBGene00022090",5.51e-12,6.96051785714286e-11,1.4811982e-07
"WBGene00009449",5.71e-12,7.20978017848755e-11,1.5349622e-07
"WBGene00010719",6.02e-12,7.59763568075117e-11,1.6182964e-07
"WBGene00003470",6.2e-12,7.82113561708118e-11,1.666684e-07
"WBGene00044644",6.37e-12,8.03181707317073e-11,1.7123834e-07
"WBGene00219303",6.38e-12,8.04065447726207e-11,1.7150716e-07
"WBGene00011107",6.39e-12,8.04948359887535e-11,1.7177598e-07
"WBGene00013449",6.44e-12,8.10866885245902e-11,1.7312008e-07
"WBGene00011548",6.6e-12,8.30623595505618e-11,1.774212e-07
"WBGene00021381",6.94e-12,8.73004585868039e-11,1.8656108e-07
"WBGene00009113",6.99e-12,8.7888297474275e-11,1.8790518e-07
"WBGene00013696",7.22e-12,9.07377466105657e-11,1.9408804e-07
"WBGene00019561",7.31e-12,9.18258971962617e-11,1.9650742e-07
"WBGene00008661",7.42e-12,9.3164147594582e-11,1.9946444e-07
"WBGene00022336",7.88e-12,9.88936321195145e-11,2.1183016e-07
"WBGene00009899",8.01e-12,1.0047821745217e-10,2.1532482e-07
"WBGene00004962",8.02e-12,1.00556735074627e-10,2.1559364e-07
"WBGene00020788",8.07e-12,1.01136475524476e-10,2.1693774e-07
"WBGene00235293",8.1e-12,1.014651444548e-10,2.177442e-07
"WBGene00021288",8.23e-12,1.03045579878901e-10,2.2123886e-07
"WBGene00000282",8.31e-12,1.03998798882682e-10,2.2338942e-07
"WBGene00010373",8.53e-12,1.06702401116799e-10,2.2930346e-07
"WBGene00017212",9.05e-12,1.13154465116279e-10,2.432821e-07
"WBGene00013956",9.13e-12,1.14101655044166e-10,2.4543266e-07
"WBGene00016680",9.15e-12,1.14298466542751e-10,2.459703e-07
"WBGene00016417",9.49e-12,1.18490562006503e-10,2.5511018e-07
"WBGene00269346",9.72e-12,1.21305961002786e-10,2.6129304e-07
"WBGene00018119",9.73e-12,1.21374412993039e-10,2.6156186e-07
"WBGene00000988",9.82e-12,1.22440278293135e-10,2.6398124e-07
"WBGene00021415",1.07e-11,1.33350672229949e-10,2.876374e-07
"WBGene00004976",1.13e-11,1.40763021316033e-10,3.037666e-07
"WBGene00022653",1.15e-11,1.43188050023159e-10,3.09143e-07
"WBGene00012911",1.16e-11,1.44366296296296e-10,3.118312e-07
"WBGene00001877",1.18e-11,1.46787413234614e-10,3.172076e-07
"WBGene00020592",1.31e-11,1.62808229311142e-10,3.521542e-07
"WBGene00020846",1.31e-11,1.62808229311142e-10,3.521542e-07
"WBGene00019626",1.33e-11,1.65217467652495e-10,3.575306e-07
"WBGene00022589",1.36e-11,1.68866143187067e-10,3.655952e-07
"WBGene00015820",1.37e-11,1.70029270544783e-10,3.682834e-07
"WBGene00019298",1.38e-11,1.71191324411629e-10,3.709716e-07
"WBGene00003528",1.39e-11,1.72272844628861e-10,3.736598e-07
"WBGene00009115",1.39e-11,1.72272844628861e-10,3.736598e-07
"WBGene00010900",1.45e-11,1.79626267281106e-10,3.89789e-07
"WBGene00003438",1.46e-11,1.80781759557807e-10,3.924772e-07
"WBGene00019311",1.55e-11,1.91837476979742e-10,4.16671e-07
"WBGene00017719",1.6e-11,1.97934652554073e-10,4.30112e-07
"WBGene00000685",1.62e-11,2.00316651333947e-10,4.354884e-07
"WBGene00016934",1.63e-11,2.01460505747126e-10,4.381766e-07
"WBGene00003534",1.66e-11,2.05074080882353e-10,4.462412e-07
"WBGene00009971",1.68e-11,2.07449517684887e-10,4.516176e-07
"WBGene00010091",1.71e-11,2.11057024793388e-10,4.596822e-07
"WBGene00009573",1.75e-11,2.15795871559633e-10,4.70435e-07
"WBGene00013304",1.75e-11,2.15795871559633e-10,4.70435e-07
"WBGene00007240",1.77e-11,2.18162035763411e-10,4.758114e-07
"WBGene00013987",1.78e-11,2.19294042163153e-10,4.784996e-07
"WBGene00002348",1.85e-11,2.27813559322034e-10,4.97317e-07
"WBGene00011273",1.87e-11,2.30170970695971e-10,5.026934e-07
"WBGene00044271",1.94e-11,2.38677711670481e-10,5.215108e-07
"WBGene00022849",1.97e-11,2.42257731015554e-10,5.295754e-07
"WBGene00011594",2.03e-11,2.49521993598537e-10,5.457046e-07
"WBGene00009450",2.12e-11,2.6034645957058e-10,5.698984e-07
"WBGene00016358",2.12e-11,2.6034645957058e-10,5.698984e-07
"WBGene00001239",2.13e-11,2.61455068493151e-10,5.725866e-07
"WBGene00001795",2.14e-11,2.62562665449566e-10,5.752748e-07
"WBGene00020678",2.2e-11,2.69801094890511e-10,5.91404e-07
"WBGene00015442",2.27e-11,2.78258732330141e-10,6.102214e-07
"WBGene00009548",2.3e-11,2.81807657247037e-10,6.18286e-07
"WBGene00000214",2.39e-11,2.92701503416856e-10,6.424798e-07
"WBGene00002200",2.41e-11,2.95016484517304e-10,6.478562e-07
"WBGene00019819",2.45e-11,2.99776513427401e-10,6.58609e-07
"WBGene00019785",2.48e-11,3.03309190172884e-10,6.666736e-07
"WBGene00000869",2.49e-11,3.04393724420191e-10,6.693618e-07
"WBGene00022705",2.51e-11,3.06699181818182e-10,6.747382e-07
"WBGene00194912",2.66e-11,3.2488014538846e-10,7.150612e-07
"WBGene00001731",2.68e-11,3.27174205267938e-10,7.204376e-07
"WBGene00009581",2.77e-11,3.38007898320472e-10,7.446314e-07
"WBGene00012855",2.8e-11,3.41513611615245e-10,7.52696e-07
"WBGene00009685",2.81e-11,3.42267421839601e-10,7.553842e-07
"WBGene00018963",2.81e-11,3.42267421839601e-10,7.553842e-07
"WBGene00021107",2.81e-11,3.42267421839601e-10,7.553842e-07
"WBGene00017384",2.91e-11,3.5428722826087e-10,7.822662e-07
"WBGene00007190",2.95e-11,3.58994567677682e-10,7.93019e-07
"WBGene00012199",3.02e-11,3.67346787330317e-10,8.118364e-07
"WBGene00003091",3.09e-11,3.7569145183175e-10,8.306538e-07
"WBGene00012605",3.11e-11,3.77952169981917e-10,8.360302e-07
"WBGene00020283",3.13e-11,3.80210845006778e-10,8.414066e-07
"WBGene00010627",3.2e-11,3.88538392050587e-10,8.60224e-07
"WBGene00014666",3.23e-11,3.9200388261851e-10,8.682886e-07
"WBGene00013194",3.27e-11,3.96679332129964e-10,8.790414e-07
"WBGene00019689",3.33e-11,4.03775642760487e-10,8.951706e-07
"WBGene00015629",3.47e-11,4.20561496844004e-10,9.328054e-07
"WBGene00011530",3.55e-11,4.30063542136097e-10,9.54311e-07
"WBGene00010314",3.59e-11,4.34713423423423e-10,9.650638e-07
"WBGene00006649",3.68e-11,4.45410895992796e-10,9.892576e-07
"WBGene00000687",3.69e-11,4.46420252025203e-10,9.919458e-07
"WBGene00019030",3.7e-11,4.47428699955016e-10,9.94634e-07
"WBGene00017386",3.73e-11,4.5085368705036e-10,1.0026986e-06
"WBGene00000230",3.74e-11,4.51656244384546e-10,1.0053868e-06
"WBGene00015917",3.74e-11,4.51656244384546e-10,1.0053868e-06
"WBGene00010948",3.75e-11,4.52660529860799e-10,1.008075e-06
"WBGene00011114",3.77e-11,4.54870466786356e-10,1.0134514e-06
"WBGene00015841",4.19e-11,5.0531888739345e-10,1.1263558e-06
"WBGene00013800",4.21e-11,5.07503228699552e-10,1.1317322e-06
"WBGene00006915",4.64e-11,5.59087763334827e-10,1.2473248e-06
"WBGene00017186",4.79e-11,5.76903136200717e-10,1.2876478e-06
"WBGene00013716",4.85e-11,5.83606535362578e-10,1.303777e-06
"WBGene00015051",4.85e-11,5.83606535362578e-10,1.303777e-06
"WBGene00004231",4.94e-11,5.94170380313199e-10,1.3279708e-06
"WBGene00003764",4.96e-11,5.96309123434705e-10,1.3333472e-06
"WBGene00007457",5.1e-11,6.1286633884667e-10,1.370982e-06
"WBGene00008628",5.12e-11,6.14994816800715e-10,1.3763584e-06
"WBGene00018048",5.29e-11,6.35130772666369e-10,1.4220578e-06
"WBGene00000606",5.47e-11,6.56448839285714e-10,1.4704454e-06
"WBGene00007733",5.53e-11,6.63353235162874e-10,1.4865746e-06
"WBGene00008811",5.6e-11,6.71450490633363e-10,1.505392e-06
"WBGene00008074",5.71e-11,6.84334462773072e-10,1.5349622e-06
"WBGene00022621",5.76e-11,6.90019251336898e-10,1.5484032e-06
"WBGene00000745",5.77e-11,6.90909309576837e-10,1.5510914e-06
"WBGene00016329",5.88e-11,7.03767408726625e-10,1.5806616e-06
"WBGene00022817",6.07e-11,7.26184868713841e-10,1.6317374e-06
"WBGene00010128",6.36e-11,7.60540569395018e-10,1.7096952e-06
"WBGene00010474",6.8e-11,8.12795020008893e-10,1.827976e-06
"WBGene00019994",7.28e-11,8.69782044444444e-10,1.9570096e-06
"WBGene00008974",7.44e-11,8.8850324300311e-10,2.0000208e-06
"WBGene00012965",7.64e-11,9.11982593250444e-10,2.0537848e-06
"WBGene00020915",7.89e-11,9.41406924101198e-10,2.1209898e-06
"WBGene00019540",8.07e-11,9.6245669920142e-10,2.1693774e-06
"WBGene00006449",8.23e-11,9.81103592017738e-10,2.2123886e-06
"WBGene00018529",8.24e-11,9.81860283687943e-10,2.2150768e-06
"WBGene00010486",8.45e-11,1.00643730615862e-09,2.271529e-06
"WBGene00012979",8.56e-11,1.01908733392383e-09,2.3010992e-06
"WBGene00002056",8.65e-11,1.02934617087207e-09,2.325293e-06
"WBGene00219451",8.72e-11,1.03721699115044e-09,2.3441104e-06
"WBGene00003767",8.89e-11,1.05697027863777e-09,2.3898098e-06
"WBGene00012172",9.6e-11,1.14088063660477e-09,2.580672e-06
"WBGene00009561",9.79e-11,1.16294644277508e-09,2.6317478e-06
"WBGene00014104",1e-10,1.18736749116608e-09,2.6882e-06
"WBGene00010453",1.01e-10,1.19765416850463e-09,2.715082e-06
"WBGene00015992",1.01e-10,1.19765416850463e-09,2.715082e-06
"WBGene00016431",1.01e-10,1.19765416850463e-09,2.715082e-06
"WBGene00012827",1.04e-10,1.23268430335097e-09,2.795728e-06
"WBGene00011176",1.07e-10,1.26712511013216e-09,2.876374e-06
"WBGene00014238",1.07e-10,1.26712511013216e-09,2.876374e-06
"WBGene00001700",1.09e-10,1.29024130339058e-09,2.930138e-06
"WBGene00002186",1.11e-10,1.31333714788732e-09,2.983902e-06
"WBGene00013846",1.12e-10,1.32458600967884e-09,3.010784e-06
"WBGene00016420",1.21e-10,1.43039665787159e-09,3.252722e-06
"WBGene00022245",1.25e-10,1.47703296703297e-09,3.36025e-06
"WBGene00010830",1.26e-10,1.48819507908612e-09,3.387132e-06
"WBGene00017426",1.27e-10,1.49868920105356e-09,3.414014e-06
"WBGene00044623",1.27e-10,1.49868920105356e-09,3.414014e-06
"WBGene00016598",1.31e-10,1.54521369021501e-09,3.521542e-06
"WBGene00044177",1.33e-10,1.56811666666667e-09,3.575306e-06
"WBGene00000634",1.34e-10,1.57921437965804e-09,3.602188e-06
"WBGene00011401",1.41e-10,1.66098247151621e-09,3.790362e-06
"WBGene00006921",1.43e-10,1.68380464301358e-09,3.844126e-06
"WBGene00000027",1.48e-10,1.74191593695271e-09,3.978536e-06
"WBGene00019564",1.49e-10,1.7529181619256e-09,4.005418e-06
"WBGene00015026",1.54e-10,1.81094838145232e-09,4.139828e-06
"WBGene00022283",1.56e-10,1.83366506340184e-09,4.193592e-06
"WBGene00018178",1.57e-10,1.84461276223776e-09,4.220474e-06
"WBGene00009041",1.61e-10,1.89078287461774e-09,4.328002e-06
"WBGene00017444",1.64e-10,1.92517379912664e-09,4.408648e-06
"WBGene00001690",1.66e-10,1.94695113438045e-09,4.462412e-06
"WBGene00006686",1.66e-10,1.94695113438045e-09,4.462412e-06
"WBGene00017955",1.67e-10,1.95782555604012e-09,4.489294e-06
"WBGene00019756",1.68e-10,1.96783267973856e-09,4.516176e-06
"WBGene00022700",1.68e-10,1.96783267973856e-09,4.516176e-06
"WBGene00010871",1.71e-10,2.00210017421603e-09,4.596822e-06
"WBGene00008500",1.74e-10,2.03633783195472e-09,4.677468e-06
"WBGene00045399",1.75e-10,2.04714969538729e-09,4.70435e-06
"WBGene00010723",1.81e-10,2.11641670291431e-09,4.865642e-06
"WBGene00004902",1.84e-10,2.15056e-09,4.946288e-06
"WBGene00007244",1.85e-10,2.16036924413553e-09,4.97317e-06
"WBGene00017340",1.85e-10,2.16036924413553e-09,4.97317e-06
"WBGene00018134",1.89e-10,2.20612158054711e-09,5.080698e-06
"WBGene00012921",1.9e-10,2.21683159722222e-09,5.10758e-06
"WBGene00011918",1.92e-10,2.23919479392625e-09,5.161344e-06
"WBGene00219374",1.99e-10,2.31982567215958e-09,5.349518e-06
"WBGene00010790",2.1e-10,2.44699609882965e-09,5.64522e-06
"WBGene00012924",2.12e-10,2.46923050259965e-09,5.698984e-06
"WBGene00019152",2.16e-10,2.5147301862278e-09,5.806512e-06
"WBGene00000176",2.17e-10,2.52527878787879e-09,5.833394e-06
"WBGene00012597",2.24e-10,2.60561142362614e-09,6.021568e-06
"WBGene00021496",2.29e-10,2.66262024221453e-09,6.155978e-06
"WBGene00015929",2.31e-10,2.68471335927367e-09,6.209742e-06
"WBGene00017126",2.41e-10,2.79972428694901e-09,6.478562e-06
"WBGene00015340",2.46e-10,2.85657537796976e-09,6.612972e-06
"WBGene00018706",2.48e-10,2.87855613126079e-09,6.666736e-06
"WBGene00119204",2.49e-10,2.88891583944756e-09,6.693618e-06
"WBGene00017620",2.52e-10,2.92246074201898e-09,6.774264e-06
"WBGene00009470",2.53e-10,2.93279258300992e-09,6.801146e-06
"WBGene00013766",2.55e-10,2.9547025862069e-09,6.85491e-06
"WBGene00014095",2.69e-10,3.1155786299009e-09,7.231258e-06
"WBGene00004091",2.83e-10,3.27631610680448e-09,7.607606e-06
"WBGene00014125",2.88e-10,3.3327662505381e-09,7.742016e-06
"WBGene00013891",2.92e-10,3.37760068846816e-09,7.849544e-06
"WBGene00002010",2.98e-10,3.44552086021505e-09,8.010836e-06
"WBGene00009215",3.03e-10,3.50182545141874e-09,8.145246e-06
"WBGene00021623",3.15e-10,3.63894714224323e-09,8.46783e-06
"WBGene00015937",3.26e-10,3.76440378006873e-09,8.763532e-06
"WBGene00008482",3.29e-10,3.79741434091885e-09,8.844178e-06
"WBGene00022079",3.37e-10,3.88808326180258e-09,9.059234e-06
"WBGene00185097",3.38e-10,3.89794766194766e-09,9.086116e-06
"WBGene00021639",3.45e-10,3.97696826758148e-09,9.27429e-06
"WBGene00019285",3.47e-10,3.9983086155165e-09,9.328054e-06
"WBGene00016595",3.51e-10,4.04266580976864e-09,9.435582e-06
"WBGene00007794",3.6e-10,4.14454817987152e-09,9.67752e-06
"WBGene00017075",3.96e-10,4.55705136986301e-09,1.0645272e-05
"WBGene00022761",4.09e-10,4.70463756953359e-09,1.0994738e-05
"WBGene00010241",4.21e-10,4.8405996578272e-09,1.1317322e-05
"WBGene00005013",4.38e-10,5.0339102180419e-09,1.1774316e-05
"WBGene00001692",4.43e-10,5.08919914529915e-09,1.1908726e-05
"WBGene00001701",4.48e-10,5.14444083724904e-09,1.2043136e-05
"WBGene00010467",4.5e-10,5.16299615877081e-09,1.20969e-05
"WBGene00010920",4.5e-10,5.16299615877081e-09,1.20969e-05
"WBGene00019431",4.82e-10,5.52778327645051e-09,1.2957124e-05
"WBGene00013785",4.88e-10,5.59420724946695e-09,1.3118416e-05
"WBGene00016259",4.96e-10,5.68349190110827e-09,1.3333472e-05
"WBGene00004509",5.11e-10,5.85287686408181e-09,1.3736702e-05
"WBGene00000115",5.14e-10,5.88473083475298e-09,1.3817348e-05
"WBGene00008579",5.17e-10,5.91404e-09,1.3897994e-05
"WBGene00018631",5.17e-10,5.91404e-09,1.3897994e-05
"WBGene00019855",5.22e-10,5.96869587409613e-09,1.4032404e-05
"WBGene00015944",5.24e-10,5.98901700680272e-09,1.4086168e-05
"WBGene00023490",5.41e-10,6.18068933276668e-09,1.4543162e-05
"WBGene00004875",5.44e-10,6.21232285471538e-09,1.4623808e-05
"WBGene00007210",5.66e-10,6.4608118895966e-09,1.5215212e-05
"WBGene00016644",6.01e-10,6.85742020373514e-09,1.6156082e-05
"WBGene00009708",6.03e-10,6.87440458015267e-09,1.6209846e-05
"WBGene00019501",6.03e-10,6.87440458015267e-09,1.6209846e-05
"WBGene00016434",6.25e-10,7.12219160661297e-09,1.680125e-05
"WBGene00021471",6.26e-10,7.13056440677966e-09,1.6828132e-05
"WBGene00044107",6.27e-10,7.13893011435832e-09,1.6855014e-05
"WBGene00007948",6.33e-10,7.20419390347163e-09,1.7016306e-05
"WBGene00021224",6.35e-10,7.2238975878121e-09,1.707007e-05
"WBGene00015313",6.42e-10,7.30044162436548e-09,1.7258244e-05
"WBGene00018895",6.45e-10,7.33145454545455e-09,1.733889e-05
"WBGene00011561",6.52e-10,7.40788841927303e-09,1.7527064e-05
"WBGene00018572",6.64e-10,7.54104267004647e-09,1.7849648e-05
"WBGene00050940",6.7e-10,7.60597128378378e-09,1.801094e-05
"WBGene00019949",6.76e-10,7.67084508231321e-09,1.8172232e-05
"WBGene00015765",6.77e-10,7.67895105485232e-09,1.8199114e-05
"WBGene00020991",6.78e-10,7.68705018979334e-09,1.8225996e-05
"WBGene00017648",6.9e-10,7.81980607082631e-09,1.854858e-05
"WBGene00017068",6.92e-10,7.83916729877792e-09,1.8602344e-05
"WBGene00015097",6.95e-10,7.86983572030328e-09,1.868299e-05
"WBGene00020661",7.31e-10,8.27399663157895e-09,1.9650742e-05
"WBGene00007178",7.7e-10,8.71175925925926e-09,2.069914e-05
"WBGene00305018",7.72e-10,8.73071266302061e-09,2.0752904e-05
